"Notes"	"County"	"County Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Fremont County, CO"	"08043"	"Other opioids"	"T40.2"	14	563478	Unreliable
	"Fremont County, CO"	"08043"	"Methadone"	"T40.3"	11	563478	Unreliable
	"Fremont County, CO"	"08043"	"Other synthetic narcotics"	"T40.4"	Suppressed	563478	Suppressed
	"Garfield County, CO"	"08045"	"Heroin"	"T40.1"	Suppressed	678141	Suppressed
	"Garfield County, CO"	"08045"	"Other opioids"	"T40.2"	10	678141	Unreliable
	"Garfield County, CO"	"08045"	"Methadone"	"T40.3"	Suppressed	678141	Suppressed
	"Garfield County, CO"	"08045"	"Other synthetic narcotics"	"T40.4"	Suppressed	678141	Suppressed
	"Gilpin County, CO"	"08047"	"Heroin"	"T40.1"	Suppressed	65777	Suppressed
	"Gilpin County, CO"	"08047"	"Other opioids"	"T40.2"	Suppressed	65777	Suppressed
	"Gilpin County, CO"	"08047"	"Methadone"	"T40.3"	Suppressed	65777	Suppressed
	"Gilpin County, CO"	"08047"	"Other synthetic narcotics"	"T40.4"	Suppressed	65777	Suppressed
	"Grand County, CO"	"08049"	"Heroin"	"T40.1"	Suppressed	175198	Suppressed
	"Grand County, CO"	"08049"	"Other opioids"	"T40.2"	Suppressed	175198	Suppressed
	"Grand County, CO"	"08049"	"Methadone"	"T40.3"	Suppressed	175198	Suppressed
	"Grand County, CO"	"08049"	"Other synthetic narcotics"	"T40.4"	Suppressed	175198	Suppressed
	"Gunnison County, CO"	"08051"	"Heroin"	"T40.1"	Suppressed	187222	Suppressed
	"Gunnison County, CO"	"08051"	"Other opioids"	"T40.2"	Suppressed	187222	Suppressed
	"Gunnison County, CO"	"08051"	"Methadone"	"T40.3"	Suppressed	187222	Suppressed
	"Gunnison County, CO"	"08051"	"Other synthetic narcotics"	"T40.4"	Suppressed	187222	Suppressed
	"Hinsdale County, CO"	"08053"	"Heroin"	"T40.1"	Suppressed	9740	Suppressed
	"Hinsdale County, CO"	"08053"	"Other opioids"	"T40.2"	Suppressed	9740	Suppressed
	"Hinsdale County, CO"	"08053"	"Methadone"	"T40.3"	Suppressed	9740	Suppressed
	"Hinsdale County, CO"	"08053"	"Other synthetic narcotics"	"T40.4"	Suppressed	9740	Suppressed
	"Huerfano County, CO"	"08055"	"Heroin"	"T40.1"	Suppressed	80714	Suppressed
	"Huerfano County, CO"	"08055"	"Other opioids"	"T40.2"	Suppressed	80714	Suppressed
	"Huerfano County, CO"	"08055"	"Methadone"	"T40.3"	Suppressed	80714	Suppressed
	"Huerfano County, CO"	"08055"	"Other synthetic narcotics"	"T40.4"	Suppressed	80714	Suppressed
	"Jackson County, CO"	"08057"	"Heroin"	"T40.1"	Suppressed	16579	Suppressed
	"Jackson County, CO"	"08057"	"Other opioids"	"T40.2"	Suppressed	16579	Suppressed
	"Jackson County, CO"	"08057"	"Methadone"	"T40.3"	Suppressed	16579	Suppressed
	"Jackson County, CO"	"08057"	"Other synthetic narcotics"	"T40.4"	Suppressed	16579	Suppressed
	"Jefferson County, CO"	"08059"	"Heroin"	"T40.1"	136	6549597	2.1
	"Jefferson County, CO"	"08059"	"Other opioids"	"T40.2"	241	6549597	3.7
	"Jefferson County, CO"	"08059"	"Methadone"	"T40.3"	65	6549597	1.0
	"Jefferson County, CO"	"08059"	"Other synthetic narcotics"	"T40.4"	72	6549597	1.1
	"Kiowa County, CO"	"08061"	"Heroin"	"T40.1"	Suppressed	16908	Suppressed
	"Kiowa County, CO"	"08061"	"Other opioids"	"T40.2"	Suppressed	16908	Suppressed
	"Kiowa County, CO"	"08061"	"Methadone"	"T40.3"	Suppressed	16908	Suppressed
	"Kiowa County, CO"	"08061"	"Other synthetic narcotics"	"T40.4"	Suppressed	16908	Suppressed
	"Kit Carson County, CO"	"08063"	"Heroin"	"T40.1"	Suppressed	96231	Suppressed
	"Kit Carson County, CO"	"08063"	"Other opioids"	"T40.2"	Suppressed	96231	Suppressed
	"Kit Carson County, CO"	"08063"	"Methadone"	"T40.3"	Suppressed	96231	Suppressed
	"Kit Carson County, CO"	"08063"	"Other synthetic narcotics"	"T40.4"	Suppressed	96231	Suppressed
	"Lake County, CO"	"08065"	"Heroin"	"T40.1"	Suppressed	89165	Suppressed
	"Lake County, CO"	"08065"	"Other opioids"	"T40.2"	Suppressed	89165	Suppressed
	"Lake County, CO"	"08065"	"Methadone"	"T40.3"	Suppressed	89165	Suppressed
	"Lake County, CO"	"08065"	"Other synthetic narcotics"	"T40.4"	Suppressed	89165	Suppressed
	"La Plata County, CO"	"08067"	"Heroin"	"T40.1"	Suppressed	628138	Suppressed
	"La Plata County, CO"	"08067"	"Other opioids"	"T40.2"	10	628138	Unreliable
	"La Plata County, CO"	"08067"	"Methadone"	"T40.3"	Suppressed	628138	Suppressed
	"La Plata County, CO"	"08067"	"Other synthetic narcotics"	"T40.4"	Suppressed	628138	Suppressed
	"Larimer County, CO"	"08069"	"Heroin"	"T40.1"	60	3728469	1.6
	"Larimer County, CO"	"08069"	"Other opioids"	"T40.2"	156	3728469	4.2
	"Larimer County, CO"	"08069"	"Methadone"	"T40.3"	29	3728469	0.8
	"Larimer County, CO"	"08069"	"Other synthetic narcotics"	"T40.4"	41	3728469	1.1
	"Las Animas County, CO"	"08071"	"Heroin"	"T40.1"	Suppressed	179338	Suppressed
	"Las Animas County, CO"	"08071"	"Other opioids"	"T40.2"	11	179338	Unreliable
	"Las Animas County, CO"	"08071"	"Methadone"	"T40.3"	Suppressed	179338	Suppressed
	"Las Animas County, CO"	"08071"	"Other synthetic narcotics"	"T40.4"	Suppressed	179338	Suppressed
	"Lincoln County, CO"	"08073"	"Heroin"	"T40.1"	Suppressed	65965	Suppressed
	"Lincoln County, CO"	"08073"	"Other opioids"	"T40.2"	Suppressed	65965	Suppressed
	"Lincoln County, CO"	"08073"	"Methadone"	"T40.3"	Suppressed	65965	Suppressed
	"Lincoln County, CO"	"08073"	"Other synthetic narcotics"	"T40.4"	Suppressed	65965	Suppressed
	"Logan County, CO"	"08075"	"Heroin"	"T40.1"	Suppressed	267437	Suppressed
	"Logan County, CO"	"08075"	"Other opioids"	"T40.2"	Suppressed	267437	Suppressed
	"Logan County, CO"	"08075"	"Methadone"	"T40.3"	Suppressed	267437	Suppressed
	"Logan County, CO"	"08075"	"Other synthetic narcotics"	"T40.4"	Suppressed	267437	Suppressed
	"Mesa County, CO"	"08077"	"Heroin"	"T40.1"	14	1752780	Unreliable
	"Mesa County, CO"	"08077"	"Other opioids"	"T40.2"	51	1752780	2.9
	"Mesa County, CO"	"08077"	"Methadone"	"T40.3"	11	1752780	Unreliable
	"Mesa County, CO"	"08077"	"Other synthetic narcotics"	"T40.4"	30	1752780	1.7
	"Mineral County, CO"	"08079"	"Heroin"	"T40.1"	Suppressed	8874	Suppressed
	"Mineral County, CO"	"08079"	"Other opioids"	"T40.2"	Suppressed	8874	Suppressed
	"Mineral County, CO"	"08079"	"Methadone"	"T40.3"	Suppressed	8874	Suppressed
	"Mineral County, CO"	"08079"	"Other synthetic narcotics"	"T40.4"	Suppressed	8874	Suppressed
	"Moffat County, CO"	"08081"	"Heroin"	"T40.1"	Suppressed	159430	Suppressed
	"Moffat County, CO"	"08081"	"Other opioids"	"T40.2"	Suppressed	159430	Suppressed
	"Moffat County, CO"	"08081"	"Methadone"	"T40.3"	Suppressed	159430	Suppressed
	"Moffat County, CO"	"08081"	"Other synthetic narcotics"	"T40.4"	Suppressed	159430	Suppressed
	"Montezuma County, CO"	"08083"	"Heroin"	"T40.1"	Suppressed	307983	Suppressed
	"Montezuma County, CO"	"08083"	"Other opioids"	"T40.2"	Suppressed	307983	Suppressed
	"Montezuma County, CO"	"08083"	"Methadone"	"T40.3"	Suppressed	307983	Suppressed
	"Montezuma County, CO"	"08083"	"Other synthetic narcotics"	"T40.4"	Suppressed	307983	Suppressed
	"Montrose County, CO"	"08085"	"Heroin"	"T40.1"	Suppressed	488947	Suppressed
	"Montrose County, CO"	"08085"	"Other opioids"	"T40.2"	Suppressed	488947	Suppressed
	"Montrose County, CO"	"08085"	"Methadone"	"T40.3"	Suppressed	488947	Suppressed
	"Montrose County, CO"	"08085"	"Other synthetic narcotics"	"T40.4"	Suppressed	488947	Suppressed
	"Morgan County, CO"	"08087"	"Heroin"	"T40.1"	Suppressed	337725	Suppressed
	"Morgan County, CO"	"08087"	"Other opioids"	"T40.2"	11	337725	Unreliable
	"Morgan County, CO"	"08087"	"Methadone"	"T40.3"	Suppressed	337725	Suppressed
	"Morgan County, CO"	"08087"	"Other synthetic narcotics"	"T40.4"	Suppressed	337725	Suppressed
	"Otero County, CO"	"08089"	"Heroin"	"T40.1"	Suppressed	223843	Suppressed
	"Otero County, CO"	"08089"	"Other opioids"	"T40.2"	Suppressed	223843	Suppressed
	"Otero County, CO"	"08089"	"Methadone"	"T40.3"	Suppressed	223843	Suppressed
	"Otero County, CO"	"08089"	"Other synthetic narcotics"	"T40.4"	Suppressed	223843	Suppressed
	"Ouray County, CO"	"08091"	"Heroin"	"T40.1"	Suppressed	53990	Suppressed
	"Ouray County, CO"	"08091"	"Other opioids"	"T40.2"	Suppressed	53990	Suppressed
	"Ouray County, CO"	"08091"	"Methadone"	"T40.3"	Suppressed	53990	Suppressed
	"Ouray County, CO"	"08091"	"Other synthetic narcotics"	"T40.4"	Suppressed	53990	Suppressed
	"Park County, CO"	"08093"	"Heroin"	"T40.1"	Suppressed	197538	Suppressed
	"Park County, CO"	"08093"	"Other opioids"	"T40.2"	Suppressed	197538	Suppressed
	"Park County, CO"	"08093"	"Methadone"	"T40.3"	Suppressed	197538	Suppressed
	"Park County, CO"	"08093"	"Other synthetic narcotics"	"T40.4"	Suppressed	197538	Suppressed
	"Phillips County, CO"	"08095"	"Heroin"	"T40.1"	Suppressed	52356	Suppressed
	"Phillips County, CO"	"08095"	"Other opioids"	"T40.2"	Suppressed	52356	Suppressed
	"Phillips County, CO"	"08095"	"Methadone"	"T40.3"	Suppressed	52356	Suppressed
	"Phillips County, CO"	"08095"	"Other synthetic narcotics"	"T40.4"	Suppressed	52356	Suppressed
	"Pitkin County, CO"	"08097"	"Heroin"	"T40.1"	Suppressed	204727	Suppressed
	"Pitkin County, CO"	"08097"	"Other opioids"	"T40.2"	Suppressed	204727	Suppressed
	"Pitkin County, CO"	"08097"	"Methadone"	"T40.3"	Suppressed	204727	Suppressed
	"Pitkin County, CO"	"08097"	"Other synthetic narcotics"	"T40.4"	Suppressed	204727	Suppressed
	"Prowers County, CO"	"08099"	"Heroin"	"T40.1"	Suppressed	148882	Suppressed
	"Prowers County, CO"	"08099"	"Other opioids"	"T40.2"	Suppressed	148882	Suppressed
	"Prowers County, CO"	"08099"	"Methadone"	"T40.3"	Suppressed	148882	Suppressed
	"Prowers County, CO"	"08099"	"Other synthetic narcotics"	"T40.4"	Suppressed	148882	Suppressed
	"Pueblo County, CO"	"08101"	"Heroin"	"T40.1"	77	1920716	4.0
	"Pueblo County, CO"	"08101"	"Other opioids"	"T40.2"	132	1920716	6.9
	"Pueblo County, CO"	"08101"	"Methadone"	"T40.3"	25	1920716	1.3
	"Pueblo County, CO"	"08101"	"Other synthetic narcotics"	"T40.4"	19	1920716	Unreliable
	"Rio Blanco County, CO"	"08103"	"Heroin"	"T40.1"	Suppressed	79205	Suppressed
	"Rio Blanco County, CO"	"08103"	"Other opioids"	"T40.2"	Suppressed	79205	Suppressed
	"Rio Blanco County, CO"	"08103"	"Methadone"	"T40.3"	Suppressed	79205	Suppressed
	"Rio Blanco County, CO"	"08103"	"Other synthetic narcotics"	"T40.4"	Suppressed	79205	Suppressed
	"Rio Grande County, CO"	"08105"	"Heroin"	"T40.1"	Suppressed	141231	Suppressed
	"Rio Grande County, CO"	"08105"	"Other opioids"	"T40.2"	Suppressed	141231	Suppressed
	"Rio Grande County, CO"	"08105"	"Methadone"	"T40.3"	Suppressed	141231	Suppressed
	"Rio Grande County, CO"	"08105"	"Other synthetic narcotics"	"T40.4"	Suppressed	141231	Suppressed
	"Routt County, CO"	"08107"	"Heroin"	"T40.1"	Suppressed	282631	Suppressed
	"Routt County, CO"	"08107"	"Other opioids"	"T40.2"	12	282631	Unreliable
	"Routt County, CO"	"08107"	"Methadone"	"T40.3"	Suppressed	282631	Suppressed
	"Routt County, CO"	"08107"	"Other synthetic narcotics"	"T40.4"	Suppressed	282631	Suppressed
	"Saguache County, CO"	"08109"	"Heroin"	"T40.1"	Suppressed	74994	Suppressed
	"Saguache County, CO"	"08109"	"Other opioids"	"T40.2"	Suppressed	74994	Suppressed
	"Saguache County, CO"	"08109"	"Methadone"	"T40.3"	Suppressed	74994	Suppressed
	"Saguache County, CO"	"08109"	"Other synthetic narcotics"	"T40.4"	Suppressed	74994	Suppressed
	"San Juan County, CO"	"08111"	"Heroin"	"T40.1"	Suppressed	8240	Suppressed
	"San Juan County, CO"	"08111"	"Other opioids"	"T40.2"	Suppressed	8240	Suppressed
	"San Juan County, CO"	"08111"	"Methadone"	"T40.3"	Suppressed	8240	Suppressed
	"San Juan County, CO"	"08111"	"Other synthetic narcotics"	"T40.4"	Suppressed	8240	Suppressed
	"San Miguel County, CO"	"08113"	"Heroin"	"T40.1"	Suppressed	90948	Suppressed
	"San Miguel County, CO"	"08113"	"Other opioids"	"T40.2"	Suppressed	90948	Suppressed
	"San Miguel County, CO"	"08113"	"Methadone"	"T40.3"	Suppressed	90948	Suppressed
	"San Miguel County, CO"	"08113"	"Other synthetic narcotics"	"T40.4"	Suppressed	90948	Suppressed
	"Sedgwick County, CO"	"08115"	"Heroin"	"T40.1"	Suppressed	28671	Suppressed
	"Sedgwick County, CO"	"08115"	"Other opioids"	"T40.2"	Suppressed	28671	Suppressed
	"Sedgwick County, CO"	"08115"	"Methadone"	"T40.3"	Suppressed	28671	Suppressed
	"Sedgwick County, CO"	"08115"	"Other synthetic narcotics"	"T40.4"	Suppressed	28671	Suppressed
	"Summit County, CO"	"08117"	"Heroin"	"T40.1"	Suppressed	340723	Suppressed
	"Summit County, CO"	"08117"	"Other opioids"	"T40.2"	10	340723	Unreliable
	"Summit County, CO"	"08117"	"Methadone"	"T40.3"	Suppressed	340723	Suppressed
	"Summit County, CO"	"08117"	"Other synthetic narcotics"	"T40.4"	Suppressed	340723	Suppressed
	"Teller County, CO"	"08119"	"Heroin"	"T40.1"	Suppressed	279483	Suppressed
	"Teller County, CO"	"08119"	"Other opioids"	"T40.2"	16	279483	Unreliable
	"Teller County, CO"	"08119"	"Methadone"	"T40.3"	Suppressed	279483	Suppressed
	"Teller County, CO"	"08119"	"Other synthetic narcotics"	"T40.4"	Suppressed	279483	Suppressed
	"Washington County, CO"	"08121"	"Heroin"	"T40.1"	Suppressed	58025	Suppressed
	"Washington County, CO"	"08121"	"Other opioids"	"T40.2"	Suppressed	58025	Suppressed
	"Washington County, CO"	"08121"	"Methadone"	"T40.3"	Suppressed	58025	Suppressed
	"Washington County, CO"	"08121"	"Other synthetic narcotics"	"T40.4"	Suppressed	58025	Suppressed
	"Weld County, CO"	"08123"	"Heroin"	"T40.1"	35	3167378	1.1
	"Weld County, CO"	"08123"	"Other opioids"	"T40.2"	85	3167378	2.7
	"Weld County, CO"	"08123"	"Methadone"	"T40.3"	18	3167378	Unreliable
	"Weld County, CO"	"08123"	"Other synthetic narcotics"	"T40.4"	34	3167378	1.1
	"Yuma County, CO"	"08125"	"Heroin"	"T40.1"	Suppressed	120376	Suppressed
	"Yuma County, CO"	"08125"	"Other opioids"	"T40.2"	Suppressed	120376	Suppressed
	"Yuma County, CO"	"08125"	"Methadone"	"T40.3"	Suppressed	120376	Suppressed
	"Yuma County, CO"	"08125"	"Other synthetic narcotics"	"T40.4"	Suppressed	120376	Suppressed
	"Fairfield County, CT"	"09001"	"Heroin"	"T40.1"	421	11112053	3.8
	"Fairfield County, CT"	"09001"	"Other opioids"	"T40.2"	209	11112053	1.9
	"Fairfield County, CT"	"09001"	"Methadone"	"T40.3"	138	11112053	1.2
	"Fairfield County, CT"	"09001"	"Other synthetic narcotics"	"T40.4"	284	11112053	2.6
	"Hartford County, CT"	"09003"	"Heroin"	"T40.1"	690	10711257	6.4
	"Hartford County, CT"	"09003"	"Other opioids"	"T40.2"	286	10711257	2.7
	"Hartford County, CT"	"09003"	"Methadone"	"T40.3"	118	10711257	1.1
	"Hartford County, CT"	"09003"	"Other synthetic narcotics"	"T40.4"	503	10711257	4.7
	"Litchfield County, CT"	"09005"	"Heroin"	"T40.1"	179	2246252	8.0
	"Litchfield County, CT"	"09005"	"Other opioids"	"T40.2"	75	2246252	3.3
	"Litchfield County, CT"	"09005"	"Methadone"	"T40.3"	32	2246252	1.4
	"Litchfield County, CT"	"09005"	"Other synthetic narcotics"	"T40.4"	83	2246252	3.7
	"Middlesex County, CT"	"09007"	"Heroin"	"T40.1"	122	1976799	6.2
	"Middlesex County, CT"	"09007"	"Other opioids"	"T40.2"	66	1976799	3.3
	"Middlesex County, CT"	"09007"	"Methadone"	"T40.3"	23	1976799	1.2
	"Middlesex County, CT"	"09007"	"Other synthetic narcotics"	"T40.4"	88	1976799	4.5
	"New Haven County, CT"	"09009"	"Heroin"	"T40.1"	635	10307199	6.2
	"New Haven County, CT"	"09009"	"Other opioids"	"T40.2"	310	10307199	3.0
	"New Haven County, CT"	"09009"	"Methadone"	"T40.3"	259	10307199	2.5
	"New Haven County, CT"	"09009"	"Other synthetic narcotics"	"T40.4"	390	10307199	3.8
	"New London County, CT"	"09011"	"Heroin"	"T40.1"	255	3267997	7.8
	"New London County, CT"	"09011"	"Other opioids"	"T40.2"	99	3267997	3.0
	"New London County, CT"	"09011"	"Methadone"	"T40.3"	42	3267997	1.3
	"New London County, CT"	"09011"	"Other synthetic narcotics"	"T40.4"	156	3267997	4.8
	"Tolland County, CT"	"09013"	"Heroin"	"T40.1"	75	1816065	4.1
	"Tolland County, CT"	"09013"	"Other opioids"	"T40.2"	45	1816065	2.5
	"Tolland County, CT"	"09013"	"Methadone"	"T40.3"	14	1816065	Unreliable
	"Tolland County, CT"	"09013"	"Other synthetic narcotics"	"T40.4"	81	1816065	4.5
	"Windham County, CT"	"09015"	"Heroin"	"T40.1"	87	1407926	6.2
	"Windham County, CT"	"09015"	"Other opioids"	"T40.2"	51	1407926	3.6
	"Windham County, CT"	"09015"	"Methadone"	"T40.3"	16	1407926	Unreliable
	"Windham County, CT"	"09015"	"Other synthetic narcotics"	"T40.4"	78	1407926	5.5
	"Kent County, DE"	"10001"	"Heroin"	"T40.1"	57	1983036	2.9
	"Kent County, DE"	"10001"	"Other opioids"	"T40.2"	106	1983036	5.3
	"Kent County, DE"	"10001"	"Methadone"	"T40.3"	41	1983036	2.1
	"Kent County, DE"	"10001"	"Other synthetic narcotics"	"T40.4"	84	1983036	4.2
	"New Castle County, DE"	"10003"	"Heroin"	"T40.1"	272	6531132	4.2
	"New Castle County, DE"	"10003"	"Other opioids"	"T40.2"	213	6531132	3.3
	"New Castle County, DE"	"10003"	"Methadone"	"T40.3"	112	6531132	1.7
	"New Castle County, DE"	"10003"	"Other synthetic narcotics"	"T40.4"	239	6531132	3.7
	"Sussex County, DE"	"10005"	"Heroin"	"T40.1"	90	2435915	3.7
	"Sussex County, DE"	"10005"	"Other opioids"	"T40.2"	128	2435915	5.3
	"Sussex County, DE"	"10005"	"Methadone"	"T40.3"	56	2435915	2.3
	"Sussex County, DE"	"10005"	"Other synthetic narcotics"	"T40.4"	108	2435915	4.4
	"District of Columbia, DC"	"11001"	"Heroin"	"T40.1"	468	7522303	6.2
	"District of Columbia, DC"	"11001"	"Other opioids"	"T40.2"	200	7522303	2.7
	"District of Columbia, DC"	"11001"	"Methadone"	"T40.3"	122	7522303	1.6
	"District of Columbia, DC"	"11001"	"Other synthetic narcotics"	"T40.4"	367	7522303	4.9
	"Alachua County, FL"	"12001"	"Heroin"	"T40.1"	Suppressed	3022089	Suppressed
	"Alachua County, FL"	"12001"	"Other opioids"	"T40.2"	74	3022089	2.4
	"Alachua County, FL"	"12001"	"Methadone"	"T40.3"	43	3022089	1.4
	"Alachua County, FL"	"12001"	"Other synthetic narcotics"	"T40.4"	28	3022089	0.9
	"Baker County, FL"	"12003"	"Heroin"	"T40.1"	Suppressed	324733	Suppressed
	"Baker County, FL"	"12003"	"Other opioids"	"T40.2"	12	324733	Unreliable
	"Baker County, FL"	"12003"	"Methadone"	"T40.3"	19	324733	Unreliable
	"Baker County, FL"	"12003"	"Other synthetic narcotics"	"T40.4"	Suppressed	324733	Suppressed
	"Bay County, FL"	"12005"	"Heroin"	"T40.1"	20	2078475	1.0
	"Bay County, FL"	"12005"	"Other opioids"	"T40.2"	126	2078475	6.1
	"Bay County, FL"	"12005"	"Methadone"	"T40.3"	54	2078475	2.6
	"Bay County, FL"	"12005"	"Other synthetic narcotics"	"T40.4"	68	2078475	3.3
	"Bradford County, FL"	"12007"	"Heroin"	"T40.1"	Suppressed	333539	Suppressed
	"Bradford County, FL"	"12007"	"Other opioids"	"T40.2"	20	333539	6.0
	"Bradford County, FL"	"12007"	"Methadone"	"T40.3"	23	333539	6.9
	"Bradford County, FL"	"12007"	"Other synthetic narcotics"	"T40.4"	Suppressed	333539	Suppressed
	"Brevard County, FL"	"12009"	"Heroin"	"T40.1"	38	6637681	0.6
	"Brevard County, FL"	"12009"	"Other opioids"	"T40.2"	235	6637681	3.5
	"Brevard County, FL"	"12009"	"Methadone"	"T40.3"	83	6637681	1.3
	"Brevard County, FL"	"12009"	"Other synthetic narcotics"	"T40.4"	106	6637681	1.6
	"Broward County, FL"	"12011"	"Heroin"	"T40.1"	314	21710505	1.4
	"Broward County, FL"	"12011"	"Other opioids"	"T40.2"	876	21710505	4.0
	"Broward County, FL"	"12011"	"Methadone"	"T40.3"	207	21710505	1.0
	"Broward County, FL"	"12011"	"Other synthetic narcotics"	"T40.4"	522	21710505	2.4
	"Calhoun County, FL"	"12013"	"Heroin"	"T40.1"	Suppressed	173942	Suppressed
	"Calhoun County, FL"	"12013"	"Other opioids"	"T40.2"	Suppressed	173942	Suppressed
	"Calhoun County, FL"	"12013"	"Methadone"	"T40.3"	Suppressed	173942	Suppressed
	"Calhoun County, FL"	"12013"	"Other synthetic narcotics"	"T40.4"	Suppressed	173942	Suppressed
	"Charlotte County, FL"	"12015"	"Heroin"	"T40.1"	Suppressed	1986698	Suppressed
	"Charlotte County, FL"	"12015"	"Other opioids"	"T40.2"	41	1986698	2.1
	"Charlotte County, FL"	"12015"	"Methadone"	"T40.3"	12	1986698	Unreliable
	"Charlotte County, FL"	"12015"	"Other synthetic narcotics"	"T40.4"	19	1986698	Unreliable
	"Citrus County, FL"	"12017"	"Heroin"	"T40.1"	10	1691904	Unreliable
	"Citrus County, FL"	"12017"	"Other opioids"	"T40.2"	61	1691904	3.6
	"Citrus County, FL"	"12017"	"Methadone"	"T40.3"	70	1691904	4.1
	"Citrus County, FL"	"12017"	"Other synthetic narcotics"	"T40.4"	30	1691904	1.8
	"Clay County, FL"	"12019"	"Heroin"	"T40.1"	34	2337270	1.5
	"Clay County, FL"	"12019"	"Other opioids"	"T40.2"	166	2337270	7.1
	"Clay County, FL"	"12019"	"Methadone"	"T40.3"	49	2337270	2.1
	"Clay County, FL"	"12019"	"Other synthetic narcotics"	"T40.4"	109	2337270	4.7
	"Collier County, FL"	"12021"	"Heroin"	"T40.1"	68	4028005	1.7
	"Collier County, FL"	"12021"	"Other opioids"	"T40.2"	239	4028005	5.9
	"Collier County, FL"	"12021"	"Methadone"	"T40.3"	119	4028005	3.0
	"Collier County, FL"	"12021"	"Other synthetic narcotics"	"T40.4"	92	4028005	2.3
	"Columbia County, FL"	"12023"	"Heroin"	"T40.1"	Suppressed	812865	Suppressed
	"Columbia County, FL"	"12023"	"Other opioids"	"T40.2"	51	812865	6.3
	"Columbia County, FL"	"12023"	"Methadone"	"T40.3"	22	812865	2.7
	"Columbia County, FL"	"12023"	"Other synthetic narcotics"	"T40.4"	13	812865	Unreliable
	"DeSoto County, FL"	"12027"	"Heroin"	"T40.1"	Suppressed	419920	Suppressed
	"DeSoto County, FL"	"12027"	"Other opioids"	"T40.2"	14	419920	Unreliable
	"DeSoto County, FL"	"12027"	"Methadone"	"T40.3"	Suppressed	419920	Suppressed
	"DeSoto County, FL"	"12027"	"Other synthetic narcotics"	"T40.4"	Suppressed	419920	Suppressed
	"Dixie County, FL"	"12029"	"Heroin"	"T40.1"	Suppressed	194649	Suppressed
	"Dixie County, FL"	"12029"	"Other opioids"	"T40.2"	21	194649	10.8
	"Dixie County, FL"	"12029"	"Methadone"	"T40.3"	15	194649	Unreliable
	"Dixie County, FL"	"12029"	"Other synthetic narcotics"	"T40.4"	Suppressed	194649	Suppressed
	"Duval County, FL"	"12031"	"Heroin"	"T40.1"	213	10583689	2.0
	"Duval County, FL"	"12031"	"Other opioids"	"T40.2"	746	10583689	7.0
	"Duval County, FL"	"12031"	"Methadone"	"T40.3"	253	10583689	2.4
	"Duval County, FL"	"12031"	"Other synthetic narcotics"	"T40.4"	625	10583689	5.9
	"Escambia County, FL"	"12033"	"Heroin"	"T40.1"	39	3647283	1.1
	"Escambia County, FL"	"12033"	"Other opioids"	"T40.2"	152	3647283	4.2
	"Escambia County, FL"	"12033"	"Methadone"	"T40.3"	117	3647283	3.2
	"Escambia County, FL"	"12033"	"Other synthetic narcotics"	"T40.4"	67	3647283	1.8
	"Flagler County, FL"	"12035"	"Heroin"	"T40.1"	Suppressed	1181108	Suppressed
	"Flagler County, FL"	"12035"	"Other opioids"	"T40.2"	60	1181108	5.1
	"Flagler County, FL"	"12035"	"Methadone"	"T40.3"	20	1181108	1.7
	"Flagler County, FL"	"12035"	"Other synthetic narcotics"	"T40.4"	18	1181108	Unreliable
	"Franklin County, FL"	"12037"	"Heroin"	"T40.1"	Suppressed	139431	Suppressed
	"Franklin County, FL"	"12037"	"Other opioids"	"T40.2"	Suppressed	139431	Suppressed
	"Franklin County, FL"	"12037"	"Methadone"	"T40.3"	Suppressed	139431	Suppressed
	"Franklin County, FL"	"12037"	"Other synthetic narcotics"	"T40.4"	Suppressed	139431	Suppressed
	"Gadsden County, FL"	"12039"	"Heroin"	"T40.1"	Suppressed	553364	Suppressed
	"Gadsden County, FL"	"12039"	"Other opioids"	"T40.2"	Suppressed	553364	Suppressed
	"Gadsden County, FL"	"12039"	"Methadone"	"T40.3"	Suppressed	553364	Suppressed
	"Gadsden County, FL"	"12039"	"Other synthetic narcotics"	"T40.4"	Suppressed	553364	Suppressed
	"Gilchrist County, FL"	"12041"	"Heroin"	"T40.1"	Suppressed	203299	Suppressed
	"Gilchrist County, FL"	"12041"	"Other opioids"	"T40.2"	Suppressed	203299	Suppressed
	"Gilchrist County, FL"	"12041"	"Methadone"	"T40.3"	Suppressed	203299	Suppressed
	"Gilchrist County, FL"	"12041"	"Other synthetic narcotics"	"T40.4"	Suppressed	203299	Suppressed
	"Glades County, FL"	"12043"	"Heroin"	"T40.1"	Suppressed	157245	Suppressed
	"Glades County, FL"	"12043"	"Other opioids"	"T40.2"	Suppressed	157245	Suppressed
	"Glades County, FL"	"12043"	"Methadone"	"T40.3"	Suppressed	157245	Suppressed
	"Glades County, FL"	"12043"	"Other synthetic narcotics"	"T40.4"	Suppressed	157245	Suppressed
	"Gulf County, FL"	"12045"	"Heroin"	"T40.1"	Suppressed	190767	Suppressed
	"Gulf County, FL"	"12045"	"Other opioids"	"T40.2"	Suppressed	190767	Suppressed
	"Gulf County, FL"	"12045"	"Methadone"	"T40.3"	Suppressed	190767	Suppressed
	"Gulf County, FL"	"12045"	"Other synthetic narcotics"	"T40.4"	Suppressed	190767	Suppressed
