"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Oklahoma"	"40"	"Methadone"	"T40.3"	"Female"	"F"	565	35351697	1.6
	"Oklahoma"	"40"	"Methadone"	"T40.3"	"Male"	"M"	993	34538054	2.9
	"Oklahoma"	"40"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	672	35351697	1.9
	"Oklahoma"	"40"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	658	34538054	1.9
	"Oregon"	"41"	"Heroin"	"T40.1"	"Female"	"F"	341	35970722	0.9
	"Oregon"	"41"	"Heroin"	"T40.1"	"Male"	"M"	1243	35294476	3.5
	"Oregon"	"41"	"Other opioids"	"T40.2"	"Female"	"F"	946	35970722	2.6
	"Oregon"	"41"	"Other opioids"	"T40.2"	"Male"	"M"	955	35294476	2.7
	"Oregon"	"41"	"Methadone"	"T40.3"	"Female"	"F"	685	35970722	1.9
	"Oregon"	"41"	"Methadone"	"T40.3"	"Male"	"M"	885	35294476	2.5
	"Oregon"	"41"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	224	35970722	0.6
	"Oregon"	"41"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	267	35294476	0.8
	"Pennsylvania"	"42"	"Heroin"	"T40.1"	"Female"	"F"	1293	122676018	1.1
	"Pennsylvania"	"42"	"Heroin"	"T40.1"	"Male"	"M"	4251	116250179	3.7
	"Pennsylvania"	"42"	"Other opioids"	"T40.2"	"Female"	"F"	1738	122676018	1.4
	"Pennsylvania"	"42"	"Other opioids"	"T40.2"	"Male"	"M"	3436	116250179	3.0
	"Pennsylvania"	"42"	"Methadone"	"T40.3"	"Female"	"F"	509	122676018	0.4
	"Pennsylvania"	"42"	"Methadone"	"T40.3"	"Male"	"M"	1002	116250179	0.9
	"Pennsylvania"	"42"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1539	122676018	1.3
	"Pennsylvania"	"42"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	3546	116250179	3.1
	"Rhode Island"	"44"	"Heroin"	"T40.1"	"Female"	"F"	48	10386912	0.5
	"Rhode Island"	"44"	"Heroin"	"T40.1"	"Male"	"M"	252	9701051	2.6
	"Rhode Island"	"44"	"Other opioids"	"T40.2"	"Female"	"F"	286	10386912	2.8
	"Rhode Island"	"44"	"Other opioids"	"T40.2"	"Male"	"M"	499	9701051	5.1
	"Rhode Island"	"44"	"Methadone"	"T40.3"	"Female"	"F"	158	10386912	1.5
	"Rhode Island"	"44"	"Methadone"	"T40.3"	"Male"	"M"	299	9701051	3.1
	"Rhode Island"	"44"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	222	10386912	2.1
	"Rhode Island"	"44"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	515	9701051	5.3
	"South Carolina"	"45"	"Heroin"	"T40.1"	"Female"	"F"	139	43795090	0.3
	"South Carolina"	"45"	"Heroin"	"T40.1"	"Male"	"M"	443	41433859	1.1
	"South Carolina"	"45"	"Other opioids"	"T40.2"	"Female"	"F"	1175	43795090	2.7
	"South Carolina"	"45"	"Other opioids"	"T40.2"	"Male"	"M"	1503	41433859	3.6
	"South Carolina"	"45"	"Methadone"	"T40.3"	"Female"	"F"	326	43795090	0.7
	"South Carolina"	"45"	"Methadone"	"T40.3"	"Male"	"M"	546	41433859	1.3
	"South Carolina"	"45"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	598	43795090	1.4
	"South Carolina"	"45"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	821	41433859	2.0
	"South Dakota"	"46"	"Heroin"	"T40.1"	"Female"	"F"	Suppressed	7637970	Suppressed
	"South Dakota"	"46"	"Heroin"	"T40.1"	"Male"	"M"	18	7639000	Unreliable
	"South Dakota"	"46"	"Other opioids"	"T40.2"	"Female"	"F"	121	7637970	1.6
	"South Dakota"	"46"	"Other opioids"	"T40.2"	"Male"	"M"	135	7639000	1.8
	"South Dakota"	"46"	"Methadone"	"T40.3"	"Female"	"F"	31	7637970	0.4
	"South Dakota"	"46"	"Methadone"	"T40.3"	"Male"	"M"	35	7639000	0.5
	"South Dakota"	"46"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	56	7637970	0.7
	"South Dakota"	"46"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	71	7639000	0.9
	"Tennessee"	"47"	"Heroin"	"T40.1"	"Female"	"F"	307	60312834	0.5
	"Tennessee"	"47"	"Heroin"	"T40.1"	"Male"	"M"	859	57347971	1.5
	"Tennessee"	"47"	"Other opioids"	"T40.2"	"Female"	"F"	2777	60312834	4.6
	"Tennessee"	"47"	"Other opioids"	"T40.2"	"Male"	"M"	3458	57347971	6.0
	"Tennessee"	"47"	"Methadone"	"T40.3"	"Female"	"F"	661	60312834	1.1
	"Tennessee"	"47"	"Methadone"	"T40.3"	"Male"	"M"	1009	57347971	1.8
	"Tennessee"	"47"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	970	60312834	1.6
	"Tennessee"	"47"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1312	57347971	2.3
	"Texas"	"48"	"Heroin"	"T40.1"	"Female"	"F"	1024	232579693	0.4
	"Texas"	"48"	"Heroin"	"T40.1"	"Male"	"M"	4535	229266636	2.0
	"Texas"	"48"	"Other opioids"	"T40.2"	"Female"	"F"	3511	232579693	1.5
	"Texas"	"48"	"Other opioids"	"T40.2"	"Male"	"M"	4425	229266636	1.9
	"Texas"	"48"	"Methadone"	"T40.3"	"Female"	"F"	999	232579693	0.4
	"Texas"	"48"	"Methadone"	"T40.3"	"Male"	"M"	1739	229266636	0.8
	"Texas"	"48"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1247	232579693	0.5
	"Texas"	"48"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1223	229266636	0.5
	"Utah"	"49"	"Heroin"	"T40.1"	"Female"	"F"	268	24987540	1.1
	"Utah"	"49"	"Heroin"	"T40.1"	"Male"	"M"	1098	25215917	4.4
	"Utah"	"49"	"Other opioids"	"T40.2"	"Female"	"F"	1801	24987540	7.2
	"Utah"	"49"	"Other opioids"	"T40.2"	"Male"	"M"	2542	25215917	10.1
	"Utah"	"49"	"Methadone"	"T40.3"	"Female"	"F"	470	24987540	1.9
	"Utah"	"49"	"Methadone"	"T40.3"	"Male"	"M"	758	25215917	3.0
	"Utah"	"49"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	408	24987540	1.6
	"Utah"	"49"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	375	25215917	1.5
	"Vermont"	"50"	"Heroin"	"T40.1"	"Female"	"F"	50	5991561	0.8
	"Vermont"	"50"	"Heroin"	"T40.1"	"Male"	"M"	191	5809616	3.3
	"Vermont"	"50"	"Other opioids"	"T40.2"	"Female"	"F"	176	5991561	2.9
	"Vermont"	"50"	"Other opioids"	"T40.2"	"Male"	"M"	279	5809616	4.8
	"Vermont"	"50"	"Methadone"	"T40.3"	"Female"	"F"	67	5991561	1.1
	"Vermont"	"50"	"Methadone"	"T40.3"	"Male"	"M"	144	5809616	2.5
	"Vermont"	"50"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	102	5991561	1.7
	"Vermont"	"50"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	216	5809616	3.7
	"Virginia"	"51"	"Heroin"	"T40.1"	"Female"	"F"	685	75500024	0.9
	"Virginia"	"51"	"Heroin"	"T40.1"	"Male"	"M"	2284	72802725	3.1
	"Virginia"	"51"	"Other opioids"	"T40.2"	"Female"	"F"	1758	75500024	2.3
	"Virginia"	"51"	"Other opioids"	"T40.2"	"Male"	"M"	2391	72802725	3.3
	"Virginia"	"51"	"Methadone"	"T40.3"	"Female"	"F"	686	75500024	0.9
	"Virginia"	"51"	"Methadone"	"T40.3"	"Male"	"M"	1198	72802725	1.6
	"Virginia"	"51"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	1065	75500024	1.4
	"Virginia"	"51"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1811	72802725	2.5
	"Washington"	"53"	"Heroin"	"T40.1"	"Female"	"F"	557	62543276	0.9
	"Washington"	"53"	"Heroin"	"T40.1"	"Male"	"M"	1880	62182162	3.0
	"Washington"	"53"	"Other opioids"	"T40.2"	"Female"	"F"	2180	62543276	3.5
	"Washington"	"53"	"Other opioids"	"T40.2"	"Male"	"M"	2352	62182162	3.8
	"Washington"	"53"	"Methadone"	"T40.3"	"Female"	"F"	1443	62543276	2.3
	"Washington"	"53"	"Methadone"	"T40.3"	"Male"	"M"	2013	62182162	3.2
	"Washington"	"53"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	532	62543276	0.9
	"Washington"	"53"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	528	62182162	0.8
	"West Virginia"	"54"	"Heroin"	"T40.1"	"Female"	"F"	324	17694954	1.8
	"West Virginia"	"54"	"Heroin"	"T40.1"	"Male"	"M"	903	17090846	5.3
	"West Virginia"	"54"	"Other opioids"	"T40.2"	"Female"	"F"	1497	17694954	8.5
	"West Virginia"	"54"	"Other opioids"	"T40.2"	"Male"	"M"	2420	17090846	14.2
	"West Virginia"	"54"	"Methadone"	"T40.3"	"Female"	"F"	370	17694954	2.1
	"West Virginia"	"54"	"Methadone"	"T40.3"	"Male"	"M"	690	17090846	4.0
	"West Virginia"	"54"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	774	17694954	4.4
	"West Virginia"	"54"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1514	17090846	8.9
	"Wisconsin"	"55"	"Heroin"	"T40.1"	"Female"	"F"	543	53720533	1.0
	"Wisconsin"	"55"	"Heroin"	"T40.1"	"Male"	"M"	1840	52836846	3.5
	"Wisconsin"	"55"	"Other opioids"	"T40.2"	"Female"	"F"	1473	53720533	2.7
	"Wisconsin"	"55"	"Other opioids"	"T40.2"	"Male"	"M"	1969	52836846	3.7
	"Wisconsin"	"55"	"Methadone"	"T40.3"	"Female"	"F"	482	53720533	0.9
	"Wisconsin"	"55"	"Methadone"	"T40.3"	"Male"	"M"	838	52836846	1.6
	"Wisconsin"	"55"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	644	53720533	1.2
	"Wisconsin"	"55"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	1041	52836846	2.0
	"Wyoming"	"56"	"Heroin"	"T40.1"	"Female"	"F"	Suppressed	5065417	Suppressed
	"Wyoming"	"56"	"Heroin"	"T40.1"	"Male"	"M"	41	5230902	0.8
	"Wyoming"	"56"	"Other opioids"	"T40.2"	"Female"	"F"	153	5065417	3.0
	"Wyoming"	"56"	"Other opioids"	"T40.2"	"Male"	"M"	159	5230902	3.0
	"Wyoming"	"56"	"Methadone"	"T40.3"	"Female"	"F"	29	5065417	0.6
	"Wyoming"	"56"	"Methadone"	"T40.3"	"Male"	"M"	43	5230902	0.8
	"Wyoming"	"56"	"Other synthetic narcotics"	"T40.4"	"Female"	"F"	39	5065417	0.8
	"Wyoming"	"56"	"Other synthetic narcotics"	"T40.4"	"Male"	"M"	56	5230902	1.1
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics)"
"UCD - Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide"
"(X60-X64); Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"Group By: State; Multiple Cause of death; Gender"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: May 23, 2019 10:04:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2019 10:04:44 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"5. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"6. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"7. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"8. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"9. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
