county,state,county-code,multiple-cause-of-death,multiple-cause-of-death-code,deaths,population,crude-rate
Cass County,Illinois,17017,Heroin,T40.1,Suppressed,159660,Suppressed
Cass County,Illinois,17017,Other opioids,T40.2,Suppressed,159660,Suppressed
Cass County,Illinois,17017,Methadone,T40.3,Suppressed,159660,Suppressed
Cass County,Illinois,17017,Other synthetic narcotics,T40.4,Suppressed,159660,Suppressed
Champaign County,Illinois,17019,Heroin,T40.1,73,2432754,3
Champaign County,Illinois,17019,Other opioids,T40.2,72,2432754,3
Champaign County,Illinois,17019,Methadone,T40.3,14,2432754,Unreliable
Champaign County,Illinois,17019,Other synthetic narcotics,T40.4,39,2432754,1.6
Christian County,Illinois,17021,Heroin,T40.1,Suppressed,412438,Suppressed
Christian County,Illinois,17021,Other opioids,T40.2,14,412438,Unreliable
Christian County,Illinois,17021,Methadone,T40.3,10,412438,Unreliable
Christian County,Illinois,17021,Other synthetic narcotics,T40.4,Suppressed,412438,Suppressed
Clark County,Illinois,17023,Heroin,T40.1,Suppressed,195167,Suppressed
Clark County,Illinois,17023,Other opioids,T40.2,Suppressed,195167,Suppressed
Clark County,Illinois,17023,Methadone,T40.3,Suppressed,195167,Suppressed
Clark County,Illinois,17023,Other synthetic narcotics,T40.4,Suppressed,195167,Suppressed
Clay County,Illinois,17025,Heroin,T40.1,Suppressed,164225,Suppressed
Clay County,Illinois,17025,Other opioids,T40.2,Suppressed,164225,Suppressed
Clay County,Illinois,17025,Methadone,T40.3,Suppressed,164225,Suppressed
Clay County,Illinois,17025,Other synthetic narcotics,T40.4,Suppressed,164225,Suppressed
Clinton County,Illinois,17027,Heroin,T40.1,Suppressed,451814,Suppressed
Clinton County,Illinois,17027,Other opioids,T40.2,Suppressed,451814,Suppressed
Clinton County,Illinois,17027,Methadone,T40.3,Suppressed,451814,Suppressed
Clinton County,Illinois,17027,Other synthetic narcotics,T40.4,Suppressed,451814,Suppressed
Coles County,Illinois,17029,Heroin,T40.1,10,639221,Unreliable
Coles County,Illinois,17029,Other opioids,T40.2,12,639221,Unreliable
Coles County,Illinois,17029,Methadone,T40.3,Suppressed,639221,Suppressed
Coles County,Illinois,17029,Other synthetic narcotics,T40.4,Suppressed,639221,Suppressed
Cook County,Illinois,17031,Heroin,T40.1,2257,62446529,3.6
Cook County,Illinois,17031,Other opioids,T40.2,682,62446529,1.1
Cook County,Illinois,17031,Methadone,T40.3,469,62446529,0.8
Cook County,Illinois,17031,Other synthetic narcotics,T40.4,1660,62446529,2.7
Crawford County,Illinois,17033,Heroin,T40.1,Suppressed,235383,Suppressed
Crawford County,Illinois,17033,Other opioids,T40.2,Suppressed,235383,Suppressed
Crawford County,Illinois,17033,Methadone,T40.3,Suppressed,235383,Suppressed
Crawford County,Illinois,17033,Other synthetic narcotics,T40.4,Suppressed,235383,Suppressed
Cumberland County,Illinois,17035,Heroin,T40.1,Suppressed,131872,Suppressed
Cumberland County,Illinois,17035,Other opioids,T40.2,Suppressed,131872,Suppressed
Cumberland County,Illinois,17035,Methadone,T40.3,Suppressed,131872,Suppressed
Cumberland County,Illinois,17035,Other synthetic narcotics,T40.4,Suppressed,131872,Suppressed
DeKalb County,Illinois,17037,Heroin,T40.1,27,1253353,2.2
DeKalb County,Illinois,17037,Other opioids,T40.2,17,1253353,Unreliable
DeKalb County,Illinois,17037,Methadone,T40.3,Suppressed,1253353,Suppressed
DeKalb County,Illinois,17037,Other synthetic narcotics,T40.4,22,1253353,1.8
De Witt County,Illinois,17039,Heroin,T40.1,Suppressed,197497,Suppressed
De Witt County,Illinois,17039,Other opioids,T40.2,10,197497,Unreliable
De Witt County,Illinois,17039,Methadone,T40.3,Suppressed,197497,Suppressed
De Witt County,Illinois,17039,Other synthetic narcotics,T40.4,Suppressed,197497,Suppressed
Douglas County,Illinois,17041,Heroin,T40.1,Suppressed,238737,Suppressed
Douglas County,Illinois,17041,Other opioids,T40.2,Suppressed,238737,Suppressed
Douglas County,Illinois,17041,Methadone,T40.3,Suppressed,238737,Suppressed
Douglas County,Illinois,17041,Other synthetic narcotics,T40.4,Suppressed,238737,Suppressed
DuPage County,Illinois,17043,Heroin,T40.1,408,11064840,3.7
DuPage County,Illinois,17043,Other opioids,T40.2,184,11064840,1.7
DuPage County,Illinois,17043,Methadone,T40.3,71,11064840,0.6
DuPage County,Illinois,17043,Other synthetic narcotics,T40.4,181,11064840,1.6
Edgar County,Illinois,17045,Heroin,T40.1,Suppressed,218870,Suppressed
Edgar County,Illinois,17045,Other opioids,T40.2,Suppressed,218870,Suppressed
Edgar County,Illinois,17045,Methadone,T40.3,Suppressed,218870,Suppressed
Edgar County,Illinois,17045,Other synthetic narcotics,T40.4,Suppressed,218870,Suppressed
Edwards County,Illinois,17047,Heroin,T40.1,Suppressed,79662,Suppressed
Edwards County,Illinois,17047,Other opioids,T40.2,Suppressed,79662,Suppressed
Edwards County,Illinois,17047,Methadone,T40.3,Suppressed,79662,Suppressed
Edwards County,Illinois,17047,Other synthetic narcotics,T40.4,Suppressed,79662,Suppressed
Effingham County,Illinois,17049,Heroin,T40.1,Suppressed,411319,Suppressed
Effingham County,Illinois,17049,Other opioids,T40.2,Suppressed,411319,Suppressed
Effingham County,Illinois,17049,Methadone,T40.3,Suppressed,411319,Suppressed
Effingham County,Illinois,17049,Other synthetic narcotics,T40.4,Suppressed,411319,Suppressed
Fayette County,Illinois,17051,Heroin,T40.1,Suppressed,263743,Suppressed
Fayette County,Illinois,17051,Other opioids,T40.2,10,263743,Unreliable
Fayette County,Illinois,17051,Methadone,T40.3,Suppressed,263743,Suppressed
Fayette County,Illinois,17051,Other synthetic narcotics,T40.4,Suppressed,263743,Suppressed
Ford County,Illinois,17053,Heroin,T40.1,Suppressed,166664,Suppressed
Ford County,Illinois,17053,Other opioids,T40.2,Suppressed,166664,Suppressed
Ford County,Illinois,17053,Methadone,T40.3,Suppressed,166664,Suppressed
Ford County,Illinois,17053,Other synthetic narcotics,T40.4,Suppressed,166664,Suppressed
Franklin County,Illinois,17055,Heroin,T40.1,12,472951,Unreliable
Franklin County,Illinois,17055,Other opioids,T40.2,27,472951,5.7
Franklin County,Illinois,17055,Methadone,T40.3,Suppressed,472951,Suppressed
Franklin County,Illinois,17055,Other synthetic narcotics,T40.4,20,472951,4.2
Fulton County,Illinois,17057,Heroin,T40.1,Suppressed,438353,Suppressed
Fulton County,Illinois,17057,Other opioids,T40.2,10,438353,Unreliable
Fulton County,Illinois,17057,Methadone,T40.3,Suppressed,438353,Suppressed
Fulton County,Illinois,17057,Other synthetic narcotics,T40.4,10,438353,Unreliable
Gallatin County,Illinois,17059,Heroin,T40.1,Suppressed,66100,Suppressed
Gallatin County,Illinois,17059,Other opioids,T40.2,Suppressed,66100,Suppressed
Gallatin County,Illinois,17059,Methadone,T40.3,Suppressed,66100,Suppressed
Gallatin County,Illinois,17059,Other synthetic narcotics,T40.4,Suppressed,66100,Suppressed
Greene County,Illinois,17061,Heroin,T40.1,Suppressed,163881,Suppressed
Greene County,Illinois,17061,Other opioids,T40.2,12,163881,Unreliable
Greene County,Illinois,17061,Methadone,T40.3,Suppressed,163881,Suppressed
Greene County,Illinois,17061,Other synthetic narcotics,T40.4,Suppressed,163881,Suppressed
Grundy County,Illinois,17063,Heroin,T40.1,20,596268,3.4
Grundy County,Illinois,17063,Other opioids,T40.2,17,596268,Unreliable
Grundy County,Illinois,17063,Methadone,T40.3,11,596268,Unreliable
Grundy County,Illinois,17063,Other synthetic narcotics,T40.4,15,596268,Unreliable
Hamilton County,Illinois,17065,Heroin,T40.1,Suppressed,100186,Suppressed
Hamilton County,Illinois,17065,Other opioids,T40.2,Suppressed,100186,Suppressed
Hamilton County,Illinois,17065,Methadone,T40.3,Suppressed,100186,Suppressed
Hamilton County,Illinois,17065,Other synthetic narcotics,T40.4,Suppressed,100186,Suppressed
Hancock County,Illinois,17067,Heroin,T40.1,Suppressed,226322,Suppressed
Hancock County,Illinois,17067,Other opioids,T40.2,Suppressed,226322,Suppressed
Hancock County,Illinois,17067,Methadone,T40.3,Suppressed,226322,Suppressed
Hancock County,Illinois,17067,Other synthetic narcotics,T40.4,Suppressed,226322,Suppressed
Hardin County,Illinois,17069,Heroin,T40.1,Suppressed,51074,Suppressed
Hardin County,Illinois,17069,Other opioids,T40.2,Suppressed,51074,Suppressed
Hardin County,Illinois,17069,Methadone,T40.3,Suppressed,51074,Suppressed
Hardin County,Illinois,17069,Other synthetic narcotics,T40.4,Suppressed,51074,Suppressed
Henderson County,Illinois,17071,Heroin,T40.1,Suppressed,86117,Suppressed
Henderson County,Illinois,17071,Other opioids,T40.2,Suppressed,86117,Suppressed
Henderson County,Illinois,17071,Methadone,T40.3,Suppressed,86117,Suppressed
Henderson County,Illinois,17071,Other synthetic narcotics,T40.4,Suppressed,86117,Suppressed
Henry County,Illinois,17073,Heroin,T40.1,Suppressed,600509,Suppressed
Henry County,Illinois,17073,Other opioids,T40.2,Suppressed,600509,Suppressed
Henry County,Illinois,17073,Methadone,T40.3,Suppressed,600509,Suppressed
Henry County,Illinois,17073,Other synthetic narcotics,T40.4,Suppressed,600509,Suppressed
Iroquois County,Illinois,17075,Heroin,T40.1,11,351857,Unreliable
Iroquois County,Illinois,17075,Other opioids,T40.2,11,351857,Unreliable
Iroquois County,Illinois,17075,Methadone,T40.3,Suppressed,351857,Suppressed
Iroquois County,Illinois,17075,Other synthetic narcotics,T40.4,11,351857,Unreliable
Jackson County,Illinois,17077,Heroin,T40.1,13,715618,Unreliable
Jackson County,Illinois,17077,Other opioids,T40.2,15,715618,Unreliable
Jackson County,Illinois,17077,Methadone,T40.3,Suppressed,715618,Suppressed
Jackson County,Illinois,17077,Other synthetic narcotics,T40.4,12,715618,Unreliable
Jasper County,Illinois,17079,Heroin,T40.1,Suppressed,116035,Suppressed
Jasper County,Illinois,17079,Other opioids,T40.2,Suppressed,116035,Suppressed
Jasper County,Illinois,17079,Methadone,T40.3,Suppressed,116035,Suppressed
Jasper County,Illinois,17079,Other synthetic narcotics,T40.4,Suppressed,116035,Suppressed
Jefferson County,Illinois,17081,Heroin,T40.1,12,465634,Unreliable
Jefferson County,Illinois,17081,Other opioids,T40.2,Suppressed,465634,Suppressed
Jefferson County,Illinois,17081,Methadone,T40.3,Suppressed,465634,Suppressed
Jefferson County,Illinois,17081,Other synthetic narcotics,T40.4,Suppressed,465634,Suppressed
Jersey County,Illinois,17083,Heroin,T40.1,Suppressed,271911,Suppressed
Jersey County,Illinois,17083,Other opioids,T40.2,18,271911,Unreliable
Jersey County,Illinois,17083,Methadone,T40.3,11,271911,Unreliable
Jersey County,Illinois,17083,Other synthetic narcotics,T40.4,18,271911,Unreliable
Jo Daviess County,Illinois,17085,Heroin,T40.1,Suppressed,269036,Suppressed
Jo Daviess County,Illinois,17085,Other opioids,T40.2,Suppressed,269036,Suppressed
Jo Daviess County,Illinois,17085,Methadone,T40.3,Suppressed,269036,Suppressed
Jo Daviess County,Illinois,17085,Other synthetic narcotics,T40.4,Suppressed,269036,Suppressed
Johnson County,Illinois,17087,Heroin,T40.1,Suppressed,152794,Suppressed
Johnson County,Illinois,17087,Other opioids,T40.2,Suppressed,152794,Suppressed
Johnson County,Illinois,17087,Methadone,T40.3,Suppressed,152794,Suppressed
Johnson County,Illinois,17087,Other synthetic narcotics,T40.4,Suppressed,152794,Suppressed
Kane County,Illinois,17089,Heroin,T40.1,145,6202846,2.3
Kane County,Illinois,17089,Other opioids,T40.2,52,6202846,0.8
Kane County,Illinois,17089,Methadone,T40.3,15,6202846,Unreliable
Kane County,Illinois,17089,Other synthetic narcotics,T40.4,88,6202846,1.4
Kankakee County,Illinois,17091,Heroin,T40.1,42,1341173,3.1
Kankakee County,Illinois,17091,Other opioids,T40.2,26,1341173,1.9
Kankakee County,Illinois,17091,Methadone,T40.3,10,1341173,Unreliable
Kankakee County,Illinois,17091,Other synthetic narcotics,T40.4,32,1341173,2.4
Kendall County,Illinois,17093,Heroin,T40.1,36,1377144,2.6
Kendall County,Illinois,17093,Other opioids,T40.2,19,1377144,Unreliable
Kendall County,Illinois,17093,Methadone,T40.3,Suppressed,1377144,Suppressed
Kendall County,Illinois,17093,Other synthetic narcotics,T40.4,23,1377144,1.7
Knox County,Illinois,17095,Heroin,T40.1,10,626990,Unreliable
Knox County,Illinois,17095,Other opioids,T40.2,18,626990,Unreliable
Knox County,Illinois,17095,Methadone,T40.3,Suppressed,626990,Suppressed
Knox County,Illinois,17095,Other synthetic narcotics,T40.4,19,626990,Unreliable
Lake County,Illinois,17097,Heroin,T40.1,345,8411783,4.1
Lake County,Illinois,17097,Other opioids,T40.2,181,8411783,2.2
Lake County,Illinois,17097,Methadone,T40.3,67,8411783,0.8
Lake County,Illinois,17097,Other synthetic narcotics,T40.4,121,8411783,1.4
LaSalle County,Illinois,17099,Heroin,T40.1,51,1350984,3.8
LaSalle County,Illinois,17099,Other opioids,T40.2,40,1350984,3
LaSalle County,Illinois,17099,Methadone,T40.3,30,1350984,2.2
LaSalle County,Illinois,17099,Other synthetic narcotics,T40.4,46,1350984,3.4
Lawrence County,Illinois,17101,Heroin,T40.1,Suppressed,199714,Suppressed
Lawrence County,Illinois,17101,Other opioids,T40.2,Suppressed,199714,Suppressed
Lawrence County,Illinois,17101,Methadone,T40.3,Suppressed,199714,Suppressed
Lawrence County,Illinois,17101,Other synthetic narcotics,T40.4,Suppressed,199714,Suppressed
Lee County,Illinois,17103,Heroin,T40.1,15,423926,Unreliable
Lee County,Illinois,17103,Other opioids,T40.2,11,423926,Unreliable
Lee County,Illinois,17103,Methadone,T40.3,Suppressed,423926,Suppressed
Lee County,Illinois,17103,Other synthetic narcotics,T40.4,Suppressed,423926,Suppressed
Livingston County,Illinois,17105,Heroin,T40.1,13,458458,Unreliable
Livingston County,Illinois,17105,Other opioids,T40.2,19,458458,Unreliable
Livingston County,Illinois,17105,Methadone,T40.3,Suppressed,458458,Suppressed
Livingston County,Illinois,17105,Other synthetic narcotics,T40.4,19,458458,Unreliable
Logan County,Illinois,17107,Heroin,T40.1,11,360349,Unreliable
Logan County,Illinois,17107,Other opioids,T40.2,Suppressed,360349,Suppressed
Logan County,Illinois,17107,Methadone,T40.3,Suppressed,360349,Suppressed
Logan County,Illinois,17107,Other synthetic narcotics,T40.4,Suppressed,360349,Suppressed
McDonough County,Illinois,17109,Heroin,T40.1,Suppressed,386266,Suppressed
McDonough County,Illinois,17109,Other opioids,T40.2,Suppressed,386266,Suppressed
McDonough County,Illinois,17109,Methadone,T40.3,Suppressed,386266,Suppressed
McDonough County,Illinois,17109,Other synthetic narcotics,T40.4,Suppressed,386266,Suppressed
McHenry County,Illinois,17111,Heroin,T40.1,168,3685070,4.6
McHenry County,Illinois,17111,Other opioids,T40.2,83,3685070,2.3
McHenry County,Illinois,17111,Methadone,T40.3,15,3685070,Unreliable
McHenry County,Illinois,17111,Other synthetic narcotics,T40.4,84,3685070,2.3
McLean County,Illinois,17113,Heroin,T40.1,43,2042691,2.1
McLean County,Illinois,17113,Other opioids,T40.2,55,2042691,2.7
McLean County,Illinois,17113,Methadone,T40.3,19,2042691,Unreliable
McLean County,Illinois,17113,Other synthetic narcotics,T40.4,43,2042691,2.1
Macon County,Illinois,17115,Heroin,T40.1,34,1311781,2.6
Macon County,Illinois,17115,Other opioids,T40.2,18,1311781,Unreliable
Macon County,Illinois,17115,Methadone,T40.3,Suppressed,1311781,Suppressed
Macon County,Illinois,17115,Other synthetic narcotics,T40.4,19,1311781,Unreliable
Macoupin County,Illinois,17117,Heroin,T40.1,14,565508,Unreliable
Macoupin County,Illinois,17117,Other opioids,T40.2,15,565508,Unreliable
Macoupin County,Illinois,17117,Methadone,T40.3,11,565508,Unreliable
Macoupin County,Illinois,17117,Other synthetic narcotics,T40.4,15,565508,Unreliable
Madison County,Illinois,17119,Heroin,T40.1,194,3207561,6
Madison County,Illinois,17119,Other opioids,T40.2,162,3207561,5.1
Madison County,Illinois,17119,Methadone,T40.3,87,3207561,2.7
Madison County,Illinois,17119,Other synthetic narcotics,T40.4,173,3207561,5.4
Marion County,Illinois,17121,Heroin,T40.1,27,468434,5.8
Marion County,Illinois,17121,Other opioids,T40.2,29,468434,6.2
Marion County,Illinois,17121,Methadone,T40.3,Suppressed,468434,Suppressed
Marion County,Illinois,17121,Other synthetic narcotics,T40.4,15,468434,Unreliable
Marshall County,Illinois,17123,Heroin,T40.1,Suppressed,148506,Suppressed
Marshall County,Illinois,17123,Other opioids,T40.2,Suppressed,148506,Suppressed
Marshall County,Illinois,17123,Methadone,T40.3,Suppressed,148506,Suppressed
Marshall County,Illinois,17123,Other synthetic narcotics,T40.4,Suppressed,148506,Suppressed
Mason County,Illinois,17125,Heroin,T40.1,Suppressed,172527,Suppressed
Mason County,Illinois,17125,Other opioids,T40.2,Suppressed,172527,Suppressed
Mason County,Illinois,17125,Methadone,T40.3,Suppressed,172527,Suppressed
Mason County,Illinois,17125,Other synthetic narcotics,T40.4,Suppressed,172527,Suppressed
Massac County,Illinois,17127,Heroin,T40.1,Suppressed,181562,Suppressed
Massac County,Illinois,17127,Other opioids,T40.2,Suppressed,181562,Suppressed
Massac County,Illinois,17127,Methadone,T40.3,Suppressed,181562,Suppressed
Massac County,Illinois,17127,Other synthetic narcotics,T40.4,Suppressed,181562,Suppressed
Menard County,Illinois,17129,Heroin,T40.1,Suppressed,151328,Suppressed
Menard County,Illinois,17129,Other opioids,T40.2,Suppressed,151328,Suppressed
Menard County,Illinois,17129,Methadone,T40.3,Suppressed,151328,Suppressed
Menard County,Illinois,17129,Other synthetic narcotics,T40.4,Suppressed,151328,Suppressed
Mercer County,Illinois,17131,Heroin,T40.1,Suppressed,194673,Suppressed
Mercer County,Illinois,17131,Other opioids,T40.2,Suppressed,194673,Suppressed
Mercer County,Illinois,17131,Methadone,T40.3,Suppressed,194673,Suppressed
Mercer County,Illinois,17131,Other synthetic narcotics,T40.4,Suppressed,194673,Suppressed
Monroe County,Illinois,17133,Heroin,T40.1,16,398043,Unreliable
Monroe County,Illinois,17133,Other opioids,T40.2,Suppressed,398043,Suppressed
Monroe County,Illinois,17133,Methadone,T40.3,Suppressed,398043,Suppressed
Monroe County,Illinois,17133,Other synthetic narcotics,T40.4,Suppressed,398043,Suppressed
Montgomery County,Illinois,17135,Heroin,T40.1,Suppressed,356298,Suppressed
Montgomery County,Illinois,17135,Other opioids,T40.2,12,356298,Unreliable
Montgomery County,Illinois,17135,Methadone,T40.3,Suppressed,356298,Suppressed
Montgomery County,Illinois,17135,Other synthetic narcotics,T40.4,11,356298,Unreliable
Morgan County,Illinois,17137,Heroin,T40.1,Suppressed,422526,Suppressed
Morgan County,Illinois,17137,Other opioids,T40.2,12,422526,Unreliable
Morgan County,Illinois,17137,Methadone,T40.3,Suppressed,422526,Suppressed
Morgan County,Illinois,17137,Other synthetic narcotics,T40.4,Suppressed,422526,Suppressed
Moultrie County,Illinois,17139,Heroin,T40.1,Suppressed,177523,Suppressed
Moultrie County,Illinois,17139,Other opioids,T40.2,Suppressed,177523,Suppressed
Moultrie County,Illinois,17139,Methadone,T40.3,Suppressed,177523,Suppressed
Moultrie County,Illinois,17139,Other synthetic narcotics,T40.4,Suppressed,177523,Suppressed
Ogle County,Illinois,17141,Heroin,T40.1,21,632340,3.3
Ogle County,Illinois,17141,Other opioids,T40.2,Suppressed,632340,Suppressed
Ogle County,Illinois,17141,Methadone,T40.3,Suppressed,632340,Suppressed
Ogle County,Illinois,17141,Other synthetic narcotics,T40.4,12,632340,Unreliable
Peoria County,Illinois,17143,Heroin,T40.1,52,2229795,2.3
Peoria County,Illinois,17143,Other opioids,T40.2,69,2229795,3.1
Peoria County,Illinois,17143,Methadone,T40.3,40,2229795,1.8
Peoria County,Illinois,17143,Other synthetic narcotics,T40.4,87,2229795,3.9
Perry County,Illinois,17145,Heroin,T40.1,Suppressed,264512,Suppressed
Perry County,Illinois,17145,Other opioids,T40.2,Suppressed,264512,Suppressed
Perry County,Illinois,17145,Methadone,T40.3,Suppressed,264512,Suppressed
Perry County,Illinois,17145,Other synthetic narcotics,T40.4,Suppressed,264512,Suppressed
Piatt County,Illinois,17147,Heroin,T40.1,Suppressed,199000,Suppressed
Piatt County,Illinois,17147,Other opioids,T40.2,Suppressed,199000,Suppressed
Piatt County,Illinois,17147,Methadone,T40.3,Suppressed,199000,Suppressed
Piatt County,Illinois,17147,Other synthetic narcotics,T40.4,Suppressed,199000,Suppressed
Pike County,Illinois,17149,Heroin,T40.1,Suppressed,195560,Suppressed
Pike County,Illinois,17149,Other opioids,T40.2,Suppressed,195560,Suppressed
Pike County,Illinois,17149,Methadone,T40.3,Suppressed,195560,Suppressed
Pike County,Illinois,17149,Other synthetic narcotics,T40.4,Suppressed,195560,Suppressed
Pope County,Illinois,17151,Heroin,T40.1,Suppressed,52068,Suppressed
Pope County,Illinois,17151,Other opioids,T40.2,Suppressed,52068,Suppressed
Pope County,Illinois,17151,Methadone,T40.3,Suppressed,52068,Suppressed
Pope County,Illinois,17151,Other synthetic narcotics,T40.4,Suppressed,52068,Suppressed
Pulaski County,Illinois,17153,Heroin,T40.1,Suppressed,71889,Suppressed
Pulaski County,Illinois,17153,Other opioids,T40.2,Suppressed,71889,Suppressed
Pulaski County,Illinois,17153,Methadone,T40.3,Suppressed,71889,Suppressed
Pulaski County,Illinois,17153,Other synthetic narcotics,T40.4,Suppressed,71889,Suppressed
Putnam County,Illinois,17155,Heroin,T40.1,Suppressed,70361,Suppressed
Putnam County,Illinois,17155,Other opioids,T40.2,Suppressed,70361,Suppressed
Putnam County,Illinois,17155,Methadone,T40.3,Suppressed,70361,Suppressed
Putnam County,Illinois,17155,Other synthetic narcotics,T40.4,Suppressed,70361,Suppressed
Randolph County,Illinois,17157,Heroin,T40.1,16,397846,Unreliable
Randolph County,Illinois,17157,Other opioids,T40.2,11,397846,Unreliable
Randolph County,Illinois,17157,Methadone,T40.3,Suppressed,397846,Suppressed
Randolph County,Illinois,17157,Other synthetic narcotics,T40.4,Suppressed,397846,Suppressed
Richland County,Illinois,17159,Heroin,T40.1,Suppressed,193356,Suppressed
Richland County,Illinois,17159,Other opioids,T40.2,Suppressed,193356,Suppressed
Richland County,Illinois,17159,Methadone,T40.3,Suppressed,193356,Suppressed
Richland County,Illinois,17159,Other synthetic narcotics,T40.4,Suppressed,193356,Suppressed
Rock Island County,Illinois,17161,Heroin,T40.1,42,1761707,2.4
Rock Island County,Illinois,17161,Other opioids,T40.2,25,1761707,1.4
Rock Island County,Illinois,17161,Methadone,T40.3,11,1761707,Unreliable
Rock Island County,Illinois,17161,Other synthetic narcotics,T40.4,16,1761707,Unreliable
St. Clair County,Illinois,17163,Heroin,T40.1,105,3194363,3.3
St. Clair County,Illinois,17163,Other opioids,T40.2,55,3194363,1.7
St. Clair County,Illinois,17163,Methadone,T40.3,13,3194363,Unreliable
St. Clair County,Illinois,17163,Other synthetic narcotics,T40.4,71,3194363,2.2
Saline County,Illinois,17165,Heroin,T40.1,Suppressed,298271,Suppressed
Saline County,Illinois,17165,Other opioids,T40.2,Suppressed,298271,Suppressed
Saline County,Illinois,17165,Methadone,T40.3,Suppressed,298271,Suppressed
Saline County,Illinois,17165,Other synthetic narcotics,T40.4,Suppressed,298271,Suppressed
Sangamon County,Illinois,17167,Heroin,T40.1,72,2365001,3
Sangamon County,Illinois,17167,Other opioids,T40.2,71,2365001,3
Sangamon County,Illinois,17167,Methadone,T40.3,29,2365001,1.2
Sangamon County,Illinois,17167,Other synthetic narcotics,T40.4,62,2365001,2.6
Schuyler County,Illinois,17169,Heroin,T40.1,Suppressed,88334,Suppressed
Schuyler County,Illinois,17169,Other opioids,T40.2,Suppressed,88334,Suppressed
Schuyler County,Illinois,17169,Methadone,T40.3,Suppressed,88334,Suppressed
Schuyler County,Illinois,17169,Other synthetic narcotics,T40.4,Suppressed,88334,Suppressed
Scott County,Illinois,17171,Heroin,T40.1,Suppressed,63015,Suppressed
Scott County,Illinois,17171,Other opioids,T40.2,Suppressed,63015,Suppressed
Scott County,Illinois,17171,Methadone,T40.3,Suppressed,63015,Suppressed
Scott County,Illinois,17171,Other synthetic narcotics,T40.4,Suppressed,63015,Suppressed
Shelby County,Illinois,17173,Heroin,T40.1,Suppressed,265626,Suppressed
Shelby County,Illinois,17173,Other opioids,T40.2,Suppressed,265626,Suppressed
Shelby County,Illinois,17173,Methadone,T40.3,Suppressed,265626,Suppressed
Shelby County,Illinois,17173,Other synthetic narcotics,T40.4,Suppressed,265626,Suppressed
Stark County,Illinois,17175,Heroin,T40.1,Suppressed,70776,Suppressed
Stark County,Illinois,17175,Other opioids,T40.2,Suppressed,70776,Suppressed
Stark County,Illinois,17175,Methadone,T40.3,Suppressed,70776,Suppressed
Stark County,Illinois,17175,Other synthetic narcotics,T40.4,Suppressed,70776,Suppressed
Stephenson County,Illinois,17177,Heroin,T40.1,16,563143,Unreliable
Stephenson County,Illinois,17177,Other opioids,T40.2,13,563143,Unreliable
Stephenson County,Illinois,17177,Methadone,T40.3,Suppressed,563143,Suppressed
Stephenson County,Illinois,17177,Other synthetic narcotics,T40.4,11,563143,Unreliable
Tazewell County,Illinois,17179,Heroin,T40.1,45,1615656,2.8
Tazewell County,Illinois,17179,Other opioids,T40.2,50,1615656,3.1
Tazewell County,Illinois,17179,Methadone,T40.3,30,1615656,1.9
Tazewell County,Illinois,17179,Other synthetic narcotics,T40.4,49,1615656,3
Union County,Illinois,17181,Heroin,T40.1,Suppressed,211835,Suppressed
Union County,Illinois,17181,Other opioids,T40.2,Suppressed,211835,Suppressed
Union County,Illinois,17181,Methadone,T40.3,Suppressed,211835,Suppressed
Union County,Illinois,17181,Other synthetic narcotics,T40.4,Suppressed,211835,Suppressed
Vermilion County,Illinois,17183,Heroin,T40.1,40,967833,4.1
Vermilion County,Illinois,17183,Other opioids,T40.2,32,967833,3.3
Vermilion County,Illinois,17183,Methadone,T40.3,Suppressed,967833,Suppressed
Vermilion County,Illinois,17183,Other synthetic narcotics,T40.4,36,967833,3.7
Wabash County,Illinois,17185,Heroin,T40.1,Suppressed,142034,Suppressed
Wabash County,Illinois,17185,Other opioids,T40.2,Suppressed,142034,Suppressed
Wabash County,Illinois,17185,Methadone,T40.3,Suppressed,142034,Suppressed
Wabash County,Illinois,17185,Other synthetic narcotics,T40.4,Suppressed,142034,Suppressed
Warren County,Illinois,17187,Heroin,T40.1,Suppressed,211949,Suppressed
Warren County,Illinois,17187,Other opioids,T40.2,Suppressed,211949,Suppressed
Warren County,Illinois,17187,Methadone,T40.3,Suppressed,211949,Suppressed
Warren County,Illinois,17187,Other synthetic narcotics,T40.4,Suppressed,211949,Suppressed
Washington County,Illinois,17189,Heroin,T40.1,Suppressed,174594,Suppressed
Washington County,Illinois,17189,Other opioids,T40.2,Suppressed,174594,Suppressed
Washington County,Illinois,17189,Methadone,T40.3,Suppressed,174594,Suppressed
Washington County,Illinois,17189,Other synthetic narcotics,T40.4,Suppressed,174594,Suppressed
Wayne County,Illinois,17191,Heroin,T40.1,Suppressed,199952,Suppressed
Wayne County,Illinois,17191,Other opioids,T40.2,Suppressed,199952,Suppressed
Wayne County,Illinois,17191,Methadone,T40.3,Suppressed,199952,Suppressed
Wayne County,Illinois,17191,Other synthetic narcotics,T40.4,Suppressed,199952,Suppressed
White County,Illinois,17193,Heroin,T40.1,Suppressed,174749,Suppressed
White County,Illinois,17193,Other opioids,T40.2,Suppressed,174749,Suppressed
White County,Illinois,17193,Methadone,T40.3,Suppressed,174749,Suppressed
White County,Illinois,17193,Other synthetic narcotics,T40.4,Suppressed,174749,Suppressed
Whiteside County,Illinois,17195,Heroin,T40.1,10,694201,Unreliable
